tp,tn,fn,fp,se,sp,mcc,acc,auc,F1,BA,prauc,PPV,NPV
23,12,1,8,0.9583333333333334,0.6,0.6093427556632138,0.7954545454545454,0.8510416666666667,0.8363636363636364,0.7791666666666667,0.8429078181512741,0.7419354838709677,0.9230769230769231
19,13,8,4,0.7037037037037037,0.7647058823529411,0.45662380827322546,0.7272727272727273,0.8736383442265795,0.76,0.7342047930283224,0.8968752212295319,0.8260869565217391,0.6190476190476191
27,10,6,1,0.8181818181818182,0.9090909090909091,0.6546536707079772,0.8409090909090909,0.9449035812672177,0.8852459016393442,0.8636363636363636,0.9811151432684664,0.9642857142857143,0.625
23.0,11.666666666666666,5.0,4.333333333333333,0.8267396184062852,0.7579322638146168,0.5735400782148056,0.787878787878788,0.8898611973868213,0.8272031793343269,0.7923359411104509,0.9069660608830908,0.8441027182261404,0.7223748473748474
23.0000 ± 2.8284,11.6667 ± 1.0801,5.0000 ± 2.5495,4.3333 ± 2.4833,0.8267 ± 0.0902,0.7579 ± 0.1094,0.5735 ± 0.0734,0.7879 ± 0.0404,0.8899 ± 0.0346,0.8272 ± 0.0446,0.7923 ± 0.0465,0.9070 ± 0.0493,0.8441 ± 0.0794,0.7224 ± 0.1229
